Center,A,B,C,D
2236.70459,3999,4116,3405,3344
2246.68066,4020,4117,3437,3341
2256.65454,4023,4147,3443,3350
2266.62622,4021,4121,3434,3315
2276.59546,3974,4104,3427,3246
2286.5625,3959,4088,3413,3230
2296.5271,3896,4059,3375,3204
2306.4895,3837,3984,3294,3179
2316.44946,3759,3925,3221,3123
2326.40723,3727,3952,3231,3063
2336.36255,3760,3966,3291,3015
2346.31567,3758,3965,3252,2999
2356.2666,3700,3949,3242,3029
2366.21509,3662,3905,3150,3019
2376.16113,3535,3808,3044,3071
2386.10522,3416,3767,2897,3057
2396.04663,3362,3628,2843,2952
2405.98608,3293,3556,2775,2951
2415.9231,3223,3405,2681,2850
2425.85767,3120,3375,2618,2827
2435.79004,3078,3280,2546,2738
2445.71997,3009,3239,2545,2756
2455.64771,2938,3201,2505,2670
2465.57324,2916,3161,2487,2635
2475.49634,2931,3140,2506,2599
2485.41724,2906,3143,2507,2591
2495.33569,2923,3155,2469,2596
