Movie Name,Director,Release Year,My Rating,Genre,Own
Evil Dead 2: Dead by Dawn,Sam Raimi,1987,8.65,Horror,Yes
Killing Them Softly,Andrew Dominik,2012,8.65,Thriller,Yes
Philomena,Stephen Frears,2013,8.65,Drama,No
Unforgiven,Clint Eastwood,1992,8.65,Western,No
A Separation,Asghar Farhadi,2011,8.64,Foreign,No
Apocalypse Now,Francis Ford Coppola,1979,8.64,War,No
Beginners,Mike Mills,2011,8.63,Independent,Yes
My Life as a Dog,Lasse Hallstrom,1985,8.63,Foreign,No
The Sixth Sense,M. Night Shyamalan,1999,8.63,Thriller,Yes
Manhattan Murder Mystery,Woody Allen,1993,8.62,Comedy,Yes
Birdy,Alan Parker,1984,8.61,Drama,Yes
The Imposter,Bart Layton,2012,8.59,Documentary,No
Tucker & Dale Vs. Evil,Eli Craig,2010,8.59,Horror,Yes
Boy A,John Crowley,2007,8.58,Drama,No
Knocked Up,Judd Apatow,2007,8.58,Comedy,Yes
Serenity,Joss Wedon,2002,8.58,Sci-Fi,No
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,8.57,Romance,No
Wings of Desire,Wim Wenders,1987,8.57,Foreign,No
Another Earth,Mike Cahill,2011,8.56,Independent,No
Blue Ruin,Jeremy Saulnier,2013,8.56,Thriller,No
Parenthood,Ron Howard,1989,8.56,Comedy,No
Reservoir Dogs,Quentin Tarantino,1992,8.56,Action,No
Shattered Glass,Billy Ray,2003,8.56,Drama,No
Drive,Nicolas Winding Refn,2011,8.55,Action,Yes
Edge of Tomorrow,Doug Liman,2014,8.55,Action,No
Nebraska,Alexander Payne,2013,8.55,Drama,No
Thank You for Smoking,Jason Reitman,2005,8.55,Comedy,Yes
After the Wedding,Susanne Bier,2006,8.54,Foreign,No
Side Effects,Steven Soderberg,2013,8.54,Thriller,No
Star Wars: Empire Strikes Back,Irvin Kershner,1980,8.54,Sci-Fi,No
The Secret Life of Words,Isabel Coixet,2005,8.54,Drama,No
50/50,Jonathan Levine,2011,8.53,Comedy,No
Boys Don't Cry,Kimberly Pierce,1999,8.53,Drama,No
Half Nelson,Ryan Fleck,2006,8.53,Independent,Yes
A Serious Man,Joel and Ethan Coen,2009,8.52,Drama,Yes
Pearl Jam Twenty,Cameron Crowe,2011,8.52,Documentary,Yes
Safety Not Guaranteed,Colin Trevorrow,2012,8.52,Comedy,No
The Proposition,John Hillcoat,2005,8.52,Western,No
Your Sister's Sister,Lynn Shelton,2011,8.51,Romance,No
Gladiator,Ridley Scott,2000,8.50,Drama,Yes
Goodbye Solo,Ramin Bahrani,2008,8.50,Independent,No
Looper,Rian Johnson,2012,8.49,Sci-Fi,No
Upstream Color,Shane Carruth,2013,8.49,Independent,No
Bringing Out the Dead,Martin Scorsese,1999,8.47,Thriller,Yes
Man on the Moon,Milos Forman,1999,8.47,Drama,Yes
Pulp Fiction,Quentin Tarantino,1994,8.46,Action,No
What About Bob?,Frank Oz,1991,8.46,Comedy,Yes
21 Grams,Alejandro González Iñárritu,2003,8.45,Drama,Yes
Heavenly Creatures,Peter Jackson,1994,8.45,Thriller,No
Pi,Darren Aronofsky,1998,8.45,Thriller,Yes
"O Brother, Where Art Thou?",Joel and Ethan Coen,2000,8.44,Comedy,Yes
Toy Story 3,Lee Unkrich,2010,8.44,Family,No
Army of Darkness,Sam Raimi,1992,8.43,Horror,No
Broadcast News,James L. Brooks,1987,8.43,Romance,No
House of Sand and Fog,Vadim Perelman,2003,8.43,Drama,Yes
Passenger Side,Matt Bissonnette,2008,8.43,Independent,No
The King of Kong,Seth Gordon,2007,8.43,Documentary,No
The Social Network,David Fincher,2010,8.43,Drama,Yes
Win Win,Thomas McCarthy,2011,8.43,Drama,Yes
Timecrimes,Nacho Vigalondo,2007,8.42,Sci-Fi,No
Conan Can't Stop,Rodman Flender,2011,8.41,Documentary,No
The Trip,Michael Winterbottom,2010,8.41,Comedy,No
Vicky Cristina Barcelona,Woody Allen,2008,8.41,Romance,Yes
The Truman Show,Peter Weir,1998,8.40,Drama,Yes
Alan Partridge,Declan Lowney,2014,8.39,Comedy,No
Shutter Island,Martin Scorsese,2010,8.39,Thriller,Yes
Mary and Max,Adam Elliot,2009,8.38,Comedy,No
Skyfall,Sam Mendes,2012,8.38,Action,No
Exit Through the Gift Shop,Banksy,2010,8.37,Documentary,No
Tomboy,Céline Sciamma,2011,8.36,Foreign,No
District 9,Neill Blomkamp,2009,8.35,Sci-Fi,No
School of Rock,Richard Linklater,2003,8.35,Comedy,No
Airplane!,Jerry Zucker,1980,8.34,Comedy,Yes
Prince Avalanche,David Gordon Green,2013,8.34,Independent,Yes
The Bourne Ultimatum,Paul Greengrass,2007,8.34,Action,Yes
Winter's Bone,Debra Granik,2010,8.34,Independent,No
Antz,Eric Darnell,1998,8.33,Family,No
Brief Encounter,David Lean,1945,8.33,Classic,No
Collateral,Michael Mann,2004,8.33,Action,No
Kick-Ass,Matthew Vaughn,2010,8.33,Action,No
La Jetée,Chris Marker,1961,8.33,Foreign,No
A Mighty Wind,Christopher Guest,2003,8.32,Comedy,Yes
Blood Simple,Joel and Ethan Coen,1984,8.32,Action,Yes
Blue Jasmine,Woody Allen,2013,8.32,Drama,No
Head-On,Fatih Akin,2004,8.32,Foreign,No
Star Wars: A New Hope,George Lucas,1977,8.32,Sci-Fi,No
Vertigo,Alfred Hitchcock,1958,8.32,Classic,No
Jerry Maguire,Cameron Crowe,1996,8.31,Romance,Yes
Persona,Ingmar Bergman,1967,8.31,Foreign,Yes
Ratatouille,Brad Bird,2007,8.31,Family,No
Incendies,Denis Villeneuve,2010,8.30,Foreign,No
