Movie Name,Director,Release Year,My Rating,Genre,Own
Star Trek Into Darkness,J.J. Abrams,2013,7.78,Action,No
The Spirit of the Beehive,Víctor Erice,1973,7.78,Foreign,No
Crazy Heart,Scott Cooper,2009,7.77,Drama,No
About Schmidt,Alexander Payne,2002,7.76,Drama,No
Breathless,Jean-Luc Goddard,1960,7.76,Foreign,No
Inglorious Basterds,Quentin Tarantino,2009,7.76,Action,No
Modern Times,Charles Chaplin,1936,7.76,Classic,No
Together,Lukas Moodysson,2000,7.76,Foreign,No
Control,Anton Corbijn,2007,7.75,Drama,No
Glengarry Glen Ross,James Foley,1992,7.75,Drama,No
One Hour Photo,Mark Romanek,2002,7.75,Thriller,Yes
Zack and Miri Make a Porno,Kevin Smith,2008,7.75,Romance,No
Killer Joe,William Friedkin,2012,7.74,Thriller,No
Rust and Bone,Jacques Audiard,2012,7.74,Foreign,No
Terribly Happy,Henrik Ruben Genz,2008,7.74,Foreign,No
25th Hour,Spike Lee,2002,7.73,Drama,No
Battle Royale,Kinji Fukasaku,2000,7.73,Foreign,No
Jurassic Park,Steven Spielberg,1993,7.73,Action,No
The Last Detail,Hal Ashby,1973,7.73,Drama,No
La Haine,Mathieu Kassovitz,1995,7.72,Foreign,No
Waitress,Adrienne Shelly,2007,7.72,Romance,No
Finding Neverland,Marc Foster,2004,7.71,Fantasy,No
Snow Angels,David Gordon Green,2007,7.71,Independent,Yes
Martyrs,Pascal Laugier,2008,7.70,Foreign,No
Frozen River,Courtney Hunt,2008,7.69,Independent,No
Headhunters,Morten Tyldum,2011,7.69,Thriller,No
Magnolia,Paul Thomas Anderson,1999,7.69,Drama,No
Johnny Got His Gun,Dalton Trumbo,1971,7.68,War,No
Junebug,Phil Morrison,2005,7.68,Independent,No
Smashed,James Ponsoldt,2012,7.68,Independent,No
Au Revoir Les Enfants,Louis Malle,1987,7.67,Foreign,No
Network,Sidney Lumet,1976,7.67,Drama,No
A River Runs Through It,Robert Redford,1992,7.66,Drama,Yes
Bullhead,Michaël R. Roskam,2011,7.66,Foreign,No
Cool Hand Luke,Stuart Rosenberg,1967,7.66,Drama,No
Fish Tank,Andrea Arnold,2009,7.66,Independent,No
Pusher 3: I'm the Angel of Death,Nicolas Winding Refn,2005,7.66,Foreign,No
Rachel Getting Married,Jonathan Demme,2008,7.66,Drama,No
"Synecdoche, New York",Charlie Kaufman,2008,7.66,Comedy,No
About Time,Richard Curtis,2013,7.65,Romance,No
Alice Doesn't Live Here Anymore,Martin Scorsese,1974,7.65,Drama,No
Beautiful Losers,Joshua Leonard,2008,7.65,Documentary,No
Bonnie and Clyde,Arthur Penn,1967,7.65,Action,No
Breaking Upwards,Daryl Wein,2009,7.65,Romance,No
Kill Bill: Vol. 2,Quentin Tarantino,2004,7.65,Action,No
Monty Python's The Meaning of Life,Terry Gilliam,1983,7.65,Comedy,No
Run Lola Run,Tom Tykwer,1998,7.65,Action,No
"South Park: Bigger, Longer and Uncut",Trey Parker,1999,7.65,Comedy,No
The Devil's Backbone,Guillermo del Toro,2001,7.65,Foreign,No
The Girl in the Café,David Yates,2005,7.65,Romance,No
The Visitor,Thomas McCarthy,2007,7.65,Drama,No
Star Trek,J.J. Abrams,2009,7.64,Sci-Fi,No
The Lion King,Rob Minkoff,1994,7.64,Family,No
Side By Side,Chris Kenneally,2012,7.63,Documentary,No
Soul Kitchen,Fatih Akin,2009,7.63,Foreign,No
Stoker,Chan-wook Park,2013,7.63,Horror,No
That Evening Sun,Scott Teems,2009,7.63,Independent,No
The Avengers,Joss Wedon,2012,7.63,Action,No
The Road,John Hillcoat,2009,7.63,Thriller,No
Two Lovers,James Gray,2008,7.63,Romance,No
8 1/2,Federico Fellini,1963,7.62,Foreign,No
Pocket Money,François Truffaut,1976,7.62,Foreign,No
Tyrannosaur,Paddy Considine,2011,7.62,Drama,No
Coraline,Henry Selick,2008,7.60,Family,No
Only Lovers Left Alive,Jim Jarmusch,2013,7.60,Drama,No
The Double,Richard Ayoade,2013,7.60,Thriller,No
Be Here to Love Me,Margaret Brown,2004,7.59,Documentary,No
Tropic Thunder,Ben Stiller,2008,7.59,War,No
Bridesmaids,Paul Feig,2011,7.58,Comedy,No
Dr. Strangelove,Stanley Kubrick,1964,7.57,Comedy,Yes
Chinatown,Roman Polanski,1974,7.56,Thriller,No
Cries and Whispers,Ingmar Bergman,1972,7.56,Foreign,No
Funny Games,Michael Haneke,1998,7.56,Horror,No
Love and Death,Woody Allen,1975,7.56,Comedy,No
My Summer of Love,Pawel Pawlikowski,2004,7.56,Romance,No
Shallow Grave,Danny Boyle,1994,7.56,Thriller,No
The Blair Witch Project,Daniel Myrick,1999,7.56,Horror,No
The Town,Ben Affleck,2010,7.56,Action,No
Everything or Nothing: The Untold Story of 007,Stevan Riley,2012,7.55,Documentary,No
Indiana Jones and the Last Crusade,Steven Spielberg,1989,7.55,Action,No
Mississippi Burning,Alan Parker,1988,7.55,Drama,No
No Direction Home: Bob Dylan,Martin Scorsese,2005,7.55,Documentary,No
Sin Nombre,Cary Fukunaga,2009,7.55,Foreign,No
22 Jump Street,Phil Lord,2014,7.54,Comedy,No
Ace Ventura: Pet Detective,Tom Shadyac,1994,7.54,Comedy,No
Before the Devil Knows You're Dead,Sidney Lumet,2007,7.54,Thriller,No
Clerks,Kevin Smith,1994,7.54,Independent,No
Five Minutes of Heaven,Oliver Hirschbiegel,2009,7.54,Drama,No
How to Survive a Plague,David France,2012,7.54,Documentary,No
Man on Wire,James Marsh (doc),2008,7.54,Documentary,No
Ruby Sparks,Jonathan Dayton,2012,7.54,Romance,No
Supporting Characters,Daniel Schechter,2012,7.54,Independent,No
The Three Burials of Melquiades Estrada,Tommy Lee Jones,2005,7.54,Thriller,No
Who's Afraid of Virginia Woolf?,Mike Nichols,1966,7.54,Drama,No
Napoleon Dynamite,Jared Hess,2004,7.53,Comedy,No
Phoebe in Wonderland,Daniel Barnz,2008,7.53,Drama,No
Recount,Jay Roach,2008,7.53,Drama,No
The Crying Game,Neil Jordan,1992,7.53,Thriller,No
Akeelah and the Bee,Doug Atchison,2006,7.52,Drama,No
Father of the Bride 2,Charles Shyer,1995,7.52,Comedy,No
Hellboy,Guillermo del Toro,2004,7.52,Action,No
Braveheart,Mel Gibson,1995,7.51,Action,No
City Lights,Charles Chaplin,1931,7.51,Classic,No
Dan in Real Life,Peter Hedges,2007,7.51,Drama,No
Kontroll,Nimród Antal,2004,7.51,Foreign,No
Sleepwalk with Me,Mike Birbiglia,2012,7.51,Independent,No
The Exorcist,William Friedkin,1973,7.51,Horror,No
Un Chien Andalou,Luis Bunuel,1929,7.51,Foreign,No
Captain Phillips,Paul Greengrass,2013,7.50,Action,No
Holy Motors,Leos Carax,2012,7.50,Foreign,No
Pierrot Le Fou,Jean-Luc Goddard,1965,7.50,Foreign,No
God Bless America,Bobcat Goldthwait,2011,7.49,Independent,No
Joan Baez: How Sweet the Sound,Mary Wharton,2009,7.49,Documentary,No
Shoot 'Em Up,Michael Davis,2007,7.49,Action,No
Sling Blade,Billy Bob Thorton,1996,7.49,Drama,No
The Dreamers,Bernardo Bertolucci,2003,7.49,Romance,No
The Purple Rose of Cairo,Woody Allen,1985,7.49,Romance,Yes
Barney's Version,Richard J. Lewis,2011,7.48,Drama,No
The Curious Case of Benjamin Button,David Fincher,2008,7.48,Drama,No
The Lookout,Scott Frank,2007,7.48,Thriller,No
The Place Beyond the Pines,Derek Cianfrance,2013,7.48,Action,No
The Return,Andrei Zvyagintsev,2003,7.48,Foreign,No
Bug,William Friedkin,2006,7.47,Horror,No
Horrible Bosses,Seth Gordon,2011,7.47,Comedy,No
Reprise,Joachim Trier,2006,7.47,Foreign,No
Eagle vs. Shark,Taika Cohen,2007,7.46,Comedy,Yes
Heat,Michael Mann,1995,7.46,Action,No
The City of Lost Children,Jean-Pierre Jeunet,1995,7.46,Foreign,No
A Simple Plan,Sam Raimi,1998,7.45,Drama,No
A Woman Under the Influence,John Cassavetes,1974,7.45,Drama,No
Being There,Hal Ashby,1979,7.45,Comedy,No
Dead Man's Shoes,Shane Meadows,2004,7.45,Independent,No
Diggers,Katherine Dieckmann,2006,7.45,Independent,No
Dogtooth,Giorgos Lanthimos,2009,7.45,Foreign,No
Downfall,Oliver Hirschbiegel,2004,7.45,Foreign,No
Finding Nemo,Andrew Stanton,2003,7.45,Family,No
Jane Eyre,Cary Fukunaga,2011,7.45,Romance,No
The Bourne Supremacy,Paul Greengrass,2004,7.45,Action,No
X2: X-Men United,Bryan Singer,2003,7.45,Action,No
Autumn Sonata,Ingmar Bergman,1978,7.44,Foreign,No
Buried,Rodrigo Cortés,2010,7.44,Thriller,No
Dead Ringers,David Cronenberg,1988,7.44,Thriller,No
Into the Wild,Sean Penn,2007,7.44,Drama,No
Mother,Joon-ho Bong,2009,7.44,Foreign,No
Muscle Shoals,"Greg ""Freddy"" Camalier",2013,7.44,Documentary,No
Arsenic and Old Lace,Frank Capra,1944,7.43,Classic,No
Assassination of Jesse James,Andrew Dominik,2007,7.43,Drama,No
Corpse Bride,Tim Burton,2005,7.43,Family,No
Father of the Bride,Charles Shyer,1991,7.43,Comedy,No
Kung Fu Panda,Mark Osborne,2008,7.43,Family,No
Ocean's Eleven,Steven Soderberg,2001,7.43,Action,No
Red Road,Andrea Arnold,2006,7.43,Thriller,No
White,Krzysztof Kieslowski,1994,7.43,Foreign,No
 Mortified Nation,Michael Mayer,2013,7.42,Documentary,No
Swimming Pool,François Ozon,2003,7.42,Foreign,No
American Gangster,Ridley Scott,2007,7.41,Action,No
Bernie,Richard Linklater,2011,7.41,Comedy,No
Biutiful,Alejandro González Iñárritu,2010,7.41,Foreign,No
Happiness,Todd Solondz,1998,7.41,Drama,No
Ondine,Neil Jordan,2009,7.41,Romance,No
The Vicious Kind,Lee Toland Krieger,2009,7.41,Independent,No
Harry Potter and the Goblet of Fire,Mike Newell,2005,7.40,Fantasy,No
The Bicycle Thief,Vittorio De Sica,1948,7.40,Foreign,No
Locke,Steven Knight,2013,7.39,Drama,No
Sexy Beast,Jonathan Glazer,2001,7.39,Thriller,No
Tell No One,Guillaume Canet,2006,7.39,Foreign,No
The Woodsman,Nicole Kassell,2004,7.39,Drama,No
This Must Be the Place,Paolo Sorrentino,2011,7.38,Drama,No
Adam's Apples,Anders Thomas Jensen,2005,7.37,Foreign,No
Ghost Dog: The Way of the Samurai,Jim Jarmusch,2000,7.37,Action,No
LoudQUIETloud: A Film About the Pixies,Steven Cantor,2006,7.37,Documentary,No
Megamind,Tom McGrath,2010,7.37,Family,No
The Breakfast Club,John Hughes,1985,7.37,Drama,No
The Last Day of Disco,Whit Stillman,1998,7.37,Independent,No
Argo,Ben Affleck,2012,7.36,Drama,No
Buffalo '66,Vincent Gallo,1998,7.35,Comedy,No
Pusher,Nicolas Winding Refn,1996,7.35,Foreign,No
The Believer,Henry Bean,2001,7.35,Drama,No
Affliction,Paul Schrader,1998,7.34,Drama,No
Babel,Alejandro González Iñárritu,2006,7.34,Drama,No
Enduring Love,Roger Michell,2004,7.34,Thriller,No
Fahrenheit 9/11,Michael Moore,2004,7.34,Documentary,No
Heaven,Tom Tykwer,2002,7.34,Drama,No
Repulsion,Roman Polanski,1965,7.34,Thriller,No
Watchmen,Zack Snyder,2009,7.34,Action,No
Alexander the Last,Joe Swanberg,2009,7.33,Independent,No
An Education,Lone Scherfig,2008,7.33,Drama,No
Bolt,Byron Howard,2008,7.33,Family,No
Capturing the Friedmans,Andrew Jarecki,2003,7.33,Documentary,No
Dodgeball: A True Underdog Story,Rawson Marshall Thurber,2004,7.33,Sports,No
Evil,Mikael Hafstrom,2003,7.33,Foreign,No
Midnight Cowboy,John Schlesinger,1969,7.33,Drama,No
Muppets Most Wanted,James Bobin,2014,7.33,Family,No
Noise,Matthew Saville,2007,7.33,Independent,No
Road to Perdition,Sam Mendes,2002,7.33,Action,No
The Dangerous Life of Alter Boys,Peter Care,2002,7.33,Drama,No
The French Connection,William Friedkin,1971,7.33,Action,No
The Informant!,Steven Soderberg,2009,7.33,Comedy,Yes
The Red Shoes,Michael Powell,1948,7.33,Thriller,No
The Terminal,Steven Spielberg,2004,7.33,Drama,Yes
Another Year,Mike Leigh,2010,7.32,Drama,No
Bad Santa,Terry Zwigoff,2003,7.32,Comedy,No
Bob Roberts,Tim Robbins,1992,7.32,Comedy,No
On the Waterfront,Elia Kazan,1954,7.32,Classic,No
Open Hearts,Susanne Bier,2002,7.32,Foreign,No
Panic Room,David Fincher,2002,7.32,Thriller,No
Primal Fear,Gregory Hoblit,1996,7.32,Thriller,No
The Black Balloon,Elissa Down,2008,7.32,Independent,No
Baby Mama,Michael McCullers,2008,7.31,Comedy,No
Evil Dead (2013),Fede Alvarez,2013,7.31,Horror,No
"Good Morning, Vietnam",Berry Levinson,1987,7.31,Comedy,No
Paradise Now,Hany Abu-Assad,2005,7.31,Foreign,No
Philadelphia,Jonathan Demme,1993,7.31,Drama,No
The Fisher King,Terry Gilliam,1991,7.31,Drama,No
The Orphanage,Juan Antonio Bayona,2007,7.31,Horror,No
Through a Glass Darkly,Ingmar Bergman,1961,7.31,Foreign,No
Welcome to the Dollhouse,Todd Solondz,1995,7.31,Independent,No
Black Snake Moan,Craig Brewer,2007,7.30,Drama,No
Mars Attacks!,Tim Burton,1996,7.30,Sci-Fi,No
The Skin I Live In,Pedro Almodovar,2011,7.30,Foreign,No
What Richard Did,Lenny Abrahamson,2012,7.30,Drama,No
Young@Heart,Stephen Walker,2007,7.30,Documentary,No
Red White & Blue,Simon Rumley,2010,7.29,Thriller,No
Paranormal Activity,Oren Peli,2007,7.28,Horror,No
"Play It Again, Sam",Herbert Ross,1972,7.28,Comedy,No
Rabbit Hole,John Cameron Mitchell,2010,7.28,Drama,No
Senna,Asif Kapadia,2010,7.28,Documentary,No
12 Angry Men,Sidney Lumet,1957,7.27,Classic,No
Grosse Pointe Blank,George Armitage,1997,7.27,Action,Yes
Pleasantville,Gary Ross,1998,7.27,Drama,No
The 40-Year Old Virgin,Judd Apatow,2005,7.27,Comedy,No
Warrior,Gavin O'Connor,2011,7.27,Sports,No
Youth in Revolt,Miguel Arteta,2009,7.27,Comedy,No
Cube,Vincenzo Natali,1997,7.26,Thriller,No
Grindhouse: Planet Terror,Robert Rodriguez,2007,7.26,Action,No
The Aviator,Martin Scorsese,2004,7.26,Drama,No
We Are What We Are,Jim Mickle,2013,7.26,Thriller,No
Cache,Michael Haneke,2005,7.25,Foreign,No
Chronicle,Josh Tank,2012,7.25,Action,No
Get Him to the Greek,Nicholas Stoller,2010,7.25,Comedy,No
Harry Potter and the Deathly Hallows: Pt. 2,David Yates,2011,7.25,Fantasy,No
Mr. Peabody & Sherman,Rob Minkoff,2014,7.25,Family,No
Pusher 2: With Blood on My Hands,Nicolas Winding Refn,2004,7.25,Foreign,No
"Spring, Summer, Fall, Winter... and Spring",Ki-duk Kim,2004,7.25,Foreign,No
Amadeus,Milos Forman,1984,7.24,Drama,No
Manhunter,Michael Mann,1986,7.24,Thriller,No
Project Nim,James Marsh (doc),2011,7.24,Documentary,No
The Circus,Charles Chaplin,1928,7.24,Classic,No
The Intouchables,Olivier Nakache,2011,7.24,Foreign,No
The Virgin Spring,Ingmar Bergman,1960,7.24,Foreign,No
13 Tzameti,Géla Babluani,2005,7.23,Foreign,No
21 Jump Street,Phil Lord,2012,7.23,Comedy,No
Bound,Andy Wachowski,1996,7.23,Thriller,No
Brick,Rian Johnson,2005,7.23,Independent,No
Delicatessen,Jean-Pierre Jeunet,1991,7.23,Foreign,No
Husbands and Wives,Woody Allen,1992,7.23,Drama,No
It Happened One Night,Frank Capra,1934,7.23,Classic,No
Jaws,Steven Spielberg,1975,7.23,Horror,No
Layer Cake,Matthew Vaughn,2004,7.23,Action,No
Murderball,Henry Alex Rubin,2005,7.23,Documentary,No
Our Idiot Brother,Jesse Peretz,2011,7.23,Comedy,No
Team America: World Police,Trey Parker,2004,7.23,Comedy,No
Terms of Endearment,James L. Brooks,1983,7.23,Drama,No
The Door in the Floor,Tod Williams,2004,7.23,Drama,No
The Hitchhicker's Guide to the Galaxy,Garth Jennings,2005,7.23,Sci-Fi,No
The King,James Marsh,2005,7.23,Independent,No
Thirteen,Catherine Hardwicke,2003,7.23,Drama,No
Waking Life,Richard Linklater,2001,7.23,Drama,Yes
Withnail and I,Bruce Robinson,1987,7.23,Independent,No
Confessions of a Dangerous Mind,George Clooney,2002,7.22,Thriller,No
Dirty Pretty Things,Stephen Frears,2002,7.22,Drama,No
Eastern Promises,David Cronenberg,2007,7.22,Action,No
In a Better World,Susanne Bier,2010,7.22,Foreign,No
Monsters University,Dan Scanion,2013,7.22,Family,No
Norman,Jonathan Segal,2010,7.22,Independent,No
Something Wild,Jonathan Demme,1986,7.22,Romance,No
The Abyss,James Cameron,1989,7.22,Sci-Fi,No
The Ghost Writer,Roman Polanski,2010,7.22,Thriller,No
The Incredibles,Brad Bird,2004,7.22,Family,No
The Shining,Stanley Kubrick,1980,7.22,Horror,No
The Son,Jean-Pierre Dardenne,2002,7.22,Foreign,No
The Thin Red Line,Terrence Malick,1998,7.22,War,No
Venus,Roger Michell,2006,7.22,Drama,No
28 Days Later,Danny Boyle,2002,7.21,Horror,No
28 Weeks Later,Juan Carlos Fresnadillo,2007,7.21,Horror,No
Airplane II: The Sequel,Ken Finkleman,1982,7.21,Comedy,No
Bruce Almighty,Tom Shadyac,2003,7.21,Comedy,Yes
Dead Man,Jim Jarmusch,1995,7.21,Independent,No
Kindergarten Cop,Ivan Reitman,1990,7.21,Action,No
Lilya 4-Ever,Lukas Moodysson,2003,7.21,Foreign,No
Never Let Me Go,Mark Romanek,2010,7.21,Romance,No
Open Your Eyes,Alejandro Amenabar,1997,7.21,Foreign,No
Out of Sight,Steven Soderberg,1998,7.21,Thriller,No
Sicko,Michael Moore,2007,7.21,Documentary,No
Stardust Memories,Woody Allen,1980,7.21,Drama,Yes
The Evil Dead,Sam Raimi,1981,7.21,Horror,No
The Guard,John Michael McDonagh,2011,7.21,Thriller,No
The Sting,George Roy Hill,1973,7.21,Thriller,No
Training Day,Antoine Fuqua,2001,7.21,Thriller,No
Iron Man 3,Shane Black,2013,7.20,Action,No
Letters from Iwo Jima,Clint Eastwood,2007,7.20,War,No
Terms And Conditions May Apply,Cullen Hoback,2013,7.20,Documentary,No
Shine,Scott Hicks,1996,7.19,Drama,No
The Boondock Saints,Troy Duffy,1999,7.19,Action,No
Zoolander,Ben Stiller,2001,7.19,Comedy,No
Antiviral,Brandon Cronenberg,2012,7.18,Thriller,No
End of Watch,David Ayer,2012,7.18,Action,No
Gangs of New York,Martin Scorsese,2002,7.18,Drama,No
L.I.E.,Michael Cuesta,2001,7.18,Drama,No
Neil Young: Heart of Gold,Jonathan Demme,2006,7.18,Documentary,No
One Week,Michael McGowan,2008,7.18,Independent,No
Teeth,Mitchell Lichtenstein,2007,7.18,Horror,No
The Motorcycle Diaries,Walter Salles,2004,7.18,Foreign,No
The Piano,Jane Campion,1993,7.18,Drama,No
The Croods,Kirk DeMicco,2013,7.17,Family,No
"Waiting for ""Superman""",Davis Guggenheim,2010,7.17,Documentary,No
Dead Man Walking,Tim Robbins,1995,7.16,Drama,No
Lonesome Jim,Steve Buscemi,2005,7.16,Drama,No
Being John Malkovich,Spike Jonze,1999,7.15,Independent,No
Pink Floyd: The Wall,Alan Parker,1982,7.15,Drama,No
Bad Education,Pedro Almodovar,2004,7.14,Foreign,No
Contagion,Steven Soderberg,2011,7.14,Thriller,No
Daylight,David Barker,2010,7.14,Independent,No
Kung Fu Panda 2,Jennifer Yuh,2011,7.14,Family,No
Lone Star,John Sayles,1996,7.14,Drama,No
Son of Rambow,Garth Jennings,2007,7.14,Drama,No
The Secret in Their Eyess,Juan Jose Campanella,2010,7.14,Foreign,No
Welcome to Sarajevo,Michael Winterbottom,1997,7.14,Drama,No
Batman,Tim Burton,1989,7.13,Action,No
Brodre,Susanne Bier,2005,7.13,Foreign,No
Cedar Rapids,Miguel Arteta,2011,7.13,Comedy,No
Dead Poets Society,Peter Weir,1989,7.13,Drama,No
I Am Not a Hipster,Destin Cretton,2012,7.13,Independent,No
Iron Man 2,Jon Favreau,2010,7.13,Action,No
Tales from the Script,Peter Hanson,2009,7.13,Documentary,No
Talladega Nights,Adam McKay,2006,7.13,Comedy,No
The Others,Alejandro Amenabar,2001,7.13,Thriller,No
The Square,Nash Edgerton,2008,7.13,Foreign,No
Titanic,James Cameron,1997,7.13,Romance,No
United 93,Paul Greengrass,2006,7.13,Drama,No
Babe,Chris Noonan,1995,7.12,Family,No
Blue Caprice,Alexandre Moors,2013,7.12,Independent,No
Capote,Bennett Miller,2005,7.12,Thriller,No
Casino,Martin Scorsese,1995,7.12,Action,No
Dog Day Afternoon,Sidney Lumet,1975,7.12,Thriller,No
Goon,Michael Dowse,2011,7.12,Sports,No
Lolita,Stanley Kubrick,1962,7.12,Romance,No
My Life Without Me,Isabel Coixet,2003,7.12,Drama,No
Slither,James Gunn,2006,7.12,Horror,No
Ted,Seth McFarlane,2012,7.12,Comedy,No
The Apartment,Billy Wilder,1960,7.12,Comedy,No
The Five-Year Engagement,Nicholas Stoller,2012,7.12,Romance,No
The Ice Storm,Ang Lee,1997,7.12,Drama,No
The Puffy Chair,Jay and Mark Duplass,2005,7.12,Independent,No
A Simple Curve,Aubrey Nealon,2005,7.11,Independent,No
Aladdin,Ron Clements,1992,7.11,Family,No
Catch Me If You Can,Steven Spielberg,2002,7.11,Thriller,No
Man Bites Dog,Remy Belvaux,1992,7.11,Foreign,No
Manic,Jordan Melamed,2001,7.11,Independent,No
Pacific Rim,Guillermo del Toro,2013,7.11,Action,No
Thumbsucker,Mike Mills,2005,7.11,Independent,No
Waltz with Bashir,Ari Folman,2008,7.11,Documentary,No
A Fish Called Wanda,Charles Crichton,1988,7.10,Comedy,No
Forrest Gump,Robert Zemeckis,1994,7.10,Drama,No
Hanna,Joe Wright,2011,7.10,Thriller,No
Lincoln,Steven Spielberg,2012,7.10,Drama,No
Misery,Rob Reiner,1990,7.10,Horror,No
Proof,Jocelyn Moorhouse,1991,7.10,Drama,No
Stake Land,Jim Mickle,2010,7.10,Action,No
Swingers,Doug Liman,1996,7.10,Comedy,No
Carnage,Roman Polanski,2011,7.09,Comedy,No
Masculin Feminin,Jean-Luc Goddard,1966,7.09,Foreign,No
Tiny Furniture,Lena Dunham,2010,7.08,Independent,No
A Fistfull of Dollars,Sergio Leone,1964,7.07,Western,No
It's Kind of a Funny Story,Ryan Fleck,2010,7.07,Independent,No
Open Range,Kevin Costner,2003,7.07,Western,No
Trees Lounge,Steve Buscemi,1996,7.07,Independent,No
Wild Strawberries,Ingmar Bergman,1957,7.07,Foreign,No
Bad Lieutenant: Port of Call New Orleans,Werner Herzog,2009,7.06,Action,No
Hotel Rwanda,Terry George,2004,7.06,Drama,No
Lawless,John Hillcoat,2012,7.06,Action,No
Summer Hours,Olivier Assayas,2008,7.06,Foreign,No
Whip It,Drew Barrymore,2009,7.06,Sports,No
Adam,Max Mayer,2009,7.05,Romance,No
Four Lions,Christopher Morris,2010,7.05,Comedy,No
Gardens of the Night,Damian Harris,2008,7.05,Drama,No
Hellboy II: The Golden Army,Guillermo del Toro,2008,7.05,Action,No
The Bourne Identity,Doug Liman,2002,7.05,Action,No
Under the Skin,Jonathan Glazer,2013,7.05,Sci-Fi,No
Zero Day,Ben Coccio,2003,7.05,Drama,No
All About My Mother,Pedro Almodovar,1999,7.04,Foreign,No
Mission: Impossible - Ghost Protocol,Brad Bird,2011,7.04,Action,No
Much Ado About Nothing,Joss Wedon,2013,7.04,Comedy,No
Restrepo,Tim Hetherington,2010,7.04,Documentary,No
Terri,Azazel Jacobs,2011,7.04,Independent,No
The Descent,Neil Marshall,2005,7.04,Horror,No
The Nightmare Before Christmas,Henry Selick,1993,7.04,Family,No
A Prairie Home Companion,Robert Altman,2006,7.03,Comedy,No
Aliens,James Cameron,1986,7.03,Sci-Fi,No
Citzen Ruth,Alexander Payne,1996,7.03,Comedy,No
Cloud Atlas,Andy Wachowski,2012,7.03,Action,No
E.T. the Extra-Terrestrial,Steven Spielberg,1982,7.03,Family,No
Elegy,Isabel Coixet,2008,7.03,Romance,No
Elf,Jon Favreau,2003,7.03,Family,No
Elizabethtown,Cameron Crowe,2005,7.03,Romance,Yes
Evil Dead,Sam Raimi,1981,7.03,Horror,No
Harry Potter and the Deathly Hallows: Pt. 1,David Yates,2010,7.03,Fantasy,No
Hoop Dreams,Steve James,1994,7.03,Documentary,No
Hope Springs,David Frankel,2012,7.03,Romance,No
In the Mood for Love,Kar Wai Wong,2001,7.03,Foreign,No
Kicking and Screaming,Noah Baumback,1995,7.03,Independent,No
Rear Window,Alfred Hitchcock,1954,7.03,Classic,No
Rescue Dawn,Werner Herzog,2006,7.03,War,No
RocknRolla,Guy Ritchie,2008,7.03,Action,No
Somewhere,Sofia Coppola,2010,7.03,Drama,No
Spanglish,James L. Brooks,2004,7.03,Drama,Yes
Tangled,Byron Howard,2010,7.03,Family,No
The 400 Blows,François Truffaut,1959,7.03,Foreign,No
The Fountain,Darren Aronofsky,2006,7.03,Thriller,No
The Insider,Michael Mann,1999,7.03,Thriller,No
The Killing,Stanley Kubrick,1956,7.03,Classic,No
The Limey,Steven Soderberg,1999,7.03,Action,No
The Other Gusy,Adam McKay,2010,7.03,Comedy,No
The Secret Life of Walter Mitty,Ben Stiller,2013,7.03,Drama,No
Trance,Danny Boyle,2013,7.03,Thriller,No
Tristram Shandy: A Cock and Bull Story,Michael Winterbottom,2005,7.03,Comedy,No
Undertow,David Gordon Green,2004,7.03,Thriller,Yes
Warm Bodies,Jonathan Levine,2013,7.03,Horror,No
Witness,Peter Weir,1985,7.03,Thriller,No
All Is Lost,J.C. Chandor,2013,7.02,Drama,No
Avatar,James Cameron,2009,7.02,Fantasy,No
Big,Penny Marshall,1988,7.02,Comedy,No
Blood Diamond,Edward Zwick,2006,7.02,Drama,No
Day Night Day Night,Julia Loktev,2006,7.02,Independent,No
Following,Christopher Nolan,1998,7.02,Independent,No
"Good Night, and Good Luck.",George Clooney,2005,7.02,Drama,No
Hamlet 2,Andrew Fleming,2008,7.02,Comedy,No
Nowhere Boy,Sam Taylor Wood,2009,7.02,Drama,No
Perfect Sense,David Mackenzie,2011,7.02,Romance,No
Shrek 2,Andrew Adamson,2004,7.02,Family,No
Taken,Pierre Morel,2008,7.02,Action,No
That Obscure Object of Desire,Luis Bunuel,1977,7.02,Foreign,No
The Constant Gardener,Ferando Mierelles,2005,7.02,Drama,No
The Machinist,Brad Anderson,2004,7.02,Thriller,No
The Sea Inside,Alejandro Amenabar,2004,7.02,Foreign,No
Black Hawk Down,Ridley Scott,2001,7.01,Action,No
Cars,John Lasseter,2006,7.01,Family,No
Crumb,Terry Zwigoff,1994,7.01,Documentary,No
Dawn of the Dead,Zack Snyder,2004,7.01,Horror,No
Guess Who's Coming to Dinner,Stanley Kramer,1967,7.01,Romance,No
Hard Eight,Paul Thomas Anderson,1996,7.01,Thriller,No
Into the Abyss,Werner Herzog,2011,7.01,Documentary,No
Kiss Kiss Bang Bang,Shane Black,2005,7.01,Action,No
Pieces of April,Peter Hedges,2003,7.01,Drama,No
Some Like It Hot,Billy Wilder,1959,7.01,Classic,No
Sullivan's Travels,Preston Sturges,1941,7.01,Classic,No
Monster House,Gil Kenan,2006,7.00,Family,No
National Lampoon's Christmas Vacation,Jeremiah S. Chechik,1989,7.00,Comedy,No
The Last King of Scotland,Kevin MacDonald,2006,7.00,Drama,No
The Pianist,Roman Polanski,2002,7.00,Drama,No
Air Guitar Nation,Alexandra Lipsitz,2006,6.99,Documentary,No
Down Terrace,Ben Wheatley,2009,6.99,Thriller,No
