,TrainSet,Experiment,Overall,Kappa,UBarren,UForest,UGrass,UImperv,UDev,UWater,PBarren,PForest,PGrass,PImperv,PDev,PWater,Error,Allocation,Quantity,Exchange,Shift,size
Barren29,Samp500,s9.dbf,96.52616486,0.8804,52.2,99.3,84.6,53,69.1,97.7,39.2,98.1,94.5,80.8,48.8,96,3.473835136,1.850422975,1.623412162,1.676809212,0.173613762,500
Barren30,Samp250,s1.dbf,96.37809675,0.8752,44,99.3,84.1,50.3,67.5,97.6,31.8,98,94.3,82.8,47.9,94.8,3.621903255,1.913681168,1.708222087,1.698708114,0.214973054,250
Barren31,Samp250,s10.dbf,96.13056063,0.8658,54.3,99.3,81.5,54.5,69,97.4,35.5,97.7,94.8,69.1,50.3,96.9,3.869439365,1.891812866,1.977626499,1.555929437,0.33588343,250
Barren32,Samp250,s2.dbf,96.17923726,0.8669,46.5,99.4,82.1,57,63.1,96.4,30.5,97.6,94.1,76.5,57,96.7,3.82076274,1.973037698,1.847725042,1.680384406,0.292653293,250
Barren33,Samp250,s3.dbf,96.01923083,0.8617,51.4,99.3,80.5,55.7,66.5,97.5,32.6,97.6,95.4,73.1,45.4,95.8,3.980769169,1.779336706,2.201432462,1.481421872,0.297914834,250
Barren34,Samp250,s4.dbf,96.18961004,0.8684,44.8,99.2,83.1,58.8,65.8,97.4,34.1,97.8,93.6,76.2,56.4,91.5,3.810389955,2.177570468,1.632819487,1.820102232,0.357468236,250
Barren35,Samp250,s5.dbf,96.40484634,0.8756,45.4,99.3,85.6,61.6,43.9,96.5,31.8,97.9,92.3,68.6,68.7,98.1,3.595153656,2.212237016,1.38291664,1.747709184,0.464527832,250
Barren36,Samp250,s6.dbf,95.83610264,0.8554,44.7,99,81,59.7,64,98,29.6,97.4,93.3,79.3,53.5,95.8,4.163897356,2.285820522,1.878076834,1.939689179,0.346131343,250
Barren37,Samp250,s7.dbf,96.30897695,0.8718,47.8,99.3,84,57.8,51,97.5,34.5,97.7,93.5,71,61.7,94.1,3.691023055,2.088866755,1.6021563,1.727526555,0.361340199,250
Barren38,Samp250,s8.dbf,96.17171,0.8693,42.9,98.8,86.8,53.4,52.4,97.4,30.4,98,89.6,78.7,62.3,97.7,3.828289995,3.020978994,0.807311001,2.619952802,0.401026192,250
Barren39,Samp250,s9.dbf,96.51438563,0.8799,41.7,99.1,86.9,62.3,51.1,97.7,36.5,97.9,93,81.3,65.5,91.5,3.485614374,2.245500937,1.240113438,1.883763619,0.361737318,250
Barren40,Samp100,s1.dbf,95.76508545,0.8504,54.6,99.4,78.8,59.8,57,96.5,33,96.9,94.9,73.4,60.9,96.3,4.234914549,1.85419009,2.380724459,1.492703193,0.361486897,100
Barren41,Samp100,s10.dbf,95.69802954,0.8501,55.9,99.2,79,53.2,61.7,97.4,27.7,97.4,94,69.1,52.2,95.6,4.301970456,2.068695151,2.233275306,1.674167305,0.394527846,100
Barren42,Samp100,s2.dbf,96.0648952,0.8647,50,99.1,82.9,45.8,69.4,97.2,33.8,97.9,93,81.4,45.5,96.3,3.935104795,2.186718147,1.748386648,1.981268967,0.205449181,100
Barren43,Samp100,s3.dbf,95.80199521,0.8524,44.3,99.5,82.2,54.5,51.3,80.9,34,97.3,94.5,45.8,62.9,93.3,4.198004786,2.061001398,2.137003388,1.442771538,0.618229861,100
Barren44,Samp100,s4.dbf,96.0810297,0.8655,56.2,99.1,82.9,51.1,65.2,97.9,32,97.9,93.1,80.9,48.5,93.9,3.918970302,2.211105734,1.707864568,1.993330125,0.217775609,100
Barren45,Samp100,s5.dbf,96.18623645,0.8685,43.3,99.3,82.6,48.9,69.5,97.3,29.9,97.9,94.8,79.3,44.1,94.6,3.813763551,1.857821532,1.955942019,1.635667717,0.222153815,100
Barren46,Samp100,s6.dbf,95.04065233,0.8253,54.1,98.9,77,64.2,41,97.2,26.8,96.6,92.2,60.5,66.7,96.8,4.959347671,2.478083787,2.481263884,2.089234849,0.388848938,100
Barren47,Samp100,s7.dbf,95.76728434,0.8537,56.7,99.2,79.9,55.1,61.8,97.1,25.7,97.7,93.8,64.4,51.5,96.4,4.232715659,2.222631626,2.010084033,1.770065728,0.452565897,100
Barren48,Samp100,s8.dbf,95.91391158,0.8608,42.7,99,83.5,56.4,72.5,88.5,35.8,98.2,93.5,57.2,42.3,90.5,4.086088419,2.657576482,1.428511937,1.958235634,0.699340848,100
Barren49,Samp100,s9.dbf,96.23112301,0.8678,45.7,99.4,82.3,62.8,53.8,96.6,37.3,97.4,95,67.9,66.2,93.3,3.768876991,1.820056558,1.948820433,1.455639083,0.364417475,100
Barren50,Samp75,s1.dbf,96.52831155,0.8809,48.4,99.2,86,54.4,60.3,98,34.5,98.1,93.8,79.7,49.9,95.3,3.471688446,2.148954974,1.322733472,1.981588013,0.167366961,75
Barren51,Samp75,s10.dbf,95.36585383,0.8342,45.8,99.4,76.3,54.6,55.8,97.4,27.5,96.3,96.2,74.5,58.1,96.8,4.634146171,1.726799369,2.907346803,1.285412192,0.441387177,75
Barren52,Samp75,s2.dbf,95.8392832,0.8551,41.2,99.3,79.5,48.6,70.4,98.2,30.5,97.5,95.5,80.3,42.5,93.4,4.160716805,1.692672135,2.468044669,1.423443895,0.26922824,75
Barren53,Samp75,s3.dbf,95.38207765,0.839,55.3,99.1,76.6,59.5,68,95.8,25.8,97.2,94.7,72.4,45.8,96.9,4.617922353,1.997836579,2.620085774,1.733901604,0.263934975,75
