wav,reflec
1.25E+00,0.572
1.25E+00,0.573
1.26E+00,0.575
1.26E+00,0.574
1.27E+00,0.574
1.27E+00,0.575
1.28E+00,0.573
1.28E+00,0.572
1.29E+00,0.57
1.29E+00,0.568
1.30E+00,0.565
1.30E+00,0.563
1.31E+00,0.558
1.31E+00,0.554
1.32E+00,0.548
1.32E+00,0.54
1.33E+00,0.532
1.33E+00,0.523
1.34E+00,0.515
1.34E+00,0.505
1.35E+00,0.496
1.35E+00,0.491
1.36E+00,0.483
1.36E+00,0.477
1.37E+00,0.467
1.37E+00,0.453
1.38E+00,0.435
1.38E+00,0.413
1.39E+00,0.375
1.39E+00,0.34
1.40E+00,0.301
1.40E+00,0.266
1.41E+00,0.241
1.41E+00,0.222
1.42E+00,0.209
1.42E+00,0.198
1.43E+00,0.189
1.43E+00,0.184
1.44E+00,0.181
1.44E+00,0.18
1.45E+00,0.177
1.45E+00,0.177
1.46E+00,0.178
1.46E+00,0.177
1.47E+00,0.18
1.47E+00,0.186
1.48E+00,0.192
1.48E+00,0.198
1.49E+00,0.205
1.49E+00,0.213
1.50E+00,0.219
1.50E+00,0.227
1.51E+00,0.235
1.51E+00,0.242
1.52E+00,0.252
1.52E+00,0.261
1.53E+00,0.269
1.53E+00,0.277
1.54E+00,0.285
1.55E+00,0.295
1.55E+00,0.302
1.56E+00,0.31
1.56E+00,0.319
1.57E+00,0.324
1.58E+00,0.332
1.58E+00,0.338
1.59E+00,0.346
1.60E+00,0.351
1.61E+00,0.358
1.61E+00,0.362
1.62E+00,0.367
1.63E+00,0.372
1.63E+00,0.375
1.64E+00,0.378
1.65E+00,0.381
1.65E+00,0.382
1.66E+00,0.382
1.67E+00,0.385
1.68E+00,0.381
1.68E+00,0.375
1.69E+00,0.378
1.70E+00,0.376
1.71E+00,0.369
1.72E+00,0.362
1.72E+00,0.357
1.73E+00,0.352
1.74E+00,0.349
1.75E+00,0.348
1.76E+00,0.343
1.76E+00,0.336
1.77E+00,0.328
1.78E+00,0.324
1.79E+00,0.325
1.80E+00,0.321
1.80E+00,0.323
1.81E+00,0.323
1.82E+00,0.322
1.83E+00,0.321
1.84E+00,0.317
1.85E+00,0.298
1.86E+00,0.262
1.88E+00,0.21
1.89E+00,0.142
1.90E+00,0.0847
1.91E+00,0.0585
1.92E+00,0.0447
