Decimal_Year,MSL (ft)
1961.00,1.256
1961.08,1.456
1961.17,1.597
1961.25,1.696
1961.33,1.437
1961.42,1.506
1961.50,1.607
1961.58,1.486
1961.67,1.666
1961.75,1.735
1961.83,1.515
1961.92,1.358
1962.00,1.095
1962.08,1.427
1962.17,1.676
1962.25,1.276
1962.33,1.407
1962.42,1.535
1962.50,1.656
1962.58,1.656
1962.67,1.597
1962.75,1.758
1962.83,1.706
1962.92,1.387
1963.00,1.266
1963.08,0.948
1963.17,1.358
1963.25,1.486
1963.33,1.315
1963.42,1.525
1963.50,1.568
1963.58,1.515
1963.67,1.578
1963.75,1.496
1963.83,1.735
1963.92,1.246
1964.00,1.296
1964.08,1.217
1964.17,1.338
1964.25,1.086
1964.33,1.348
1964.42,1.417
1964.50,1.515
1964.58,1.548
1964.67,1.558
1964.75,1.558
1964.83,1.588
1964.92,1.286
1965.00,1.368
1965.08,1.325
1965.17,1.276
1965.25,1.456
1965.33,1.427
1965.42,1.486
1965.50,1.466
1965.58,1.407
1965.67,1.506
1965.75,1.578
1965.83,1.548
1965.92,1.378
1966.00,1.476
1966.08,1.286
1966.17,1.348
1966.25,1.348
1966.33,1.348
1966.42,1.417
1966.50,1.548
1966.67,1.758
1966.75,1.417
1966.83,1.617
1966.92,1.368
1967.00,1.387
1967.08,1.286
1967.17,1.315
1967.25,1.506
1967.33,1.607
1967.42,1.548
1967.50,1.597
1967.58,1.588
1967.67,1.607
1967.75,1.578
1967.83,1.446
1967.92,1.558
1968.00,1.115
1968.08,1.246
1968.17,1.256
1968.25,1.217
1968.33,1.666
1968.42,1.758
1968.50,1.588
1968.58,1.666
1968.67,1.456
1968.75,1.548
1968.83,1.716
1968.92,1.296
1969.00,1.237
1969.08,1.496
1969.17,1.456
1969.25,1.407
1969.33,1.466
1969.42,1.666
1969.50,1.686
1969.58,1.768
1969.67,1.827
1969.75,1.817
1969.83,1.857
1969.92,1.716
1970.00,1.466
1970.08,1.486
1970.17,1.427
1970.25,1.548
1970.33,1.437
1970.42,1.656
1970.50,1.676
1970.58,1.778
1970.67,1.706
1970.75,1.725
1970.83,1.886
1970.92,1.788
1971.00,1.588
1971.08,1.486
1971.17,1.548
1971.25,1.627
1971.33,1.656
1971.42,1.686
1971.50,1.627
1971.58,1.647
1971.67,1.706
1971.75,1.827
1971.83,1.866
1971.92,1.387
1972.00,1.348
1972.08,1.417
1972.17,1.578
1972.25,1.597
1972.33,1.758
1972.42,1.935
1972.50,1.817
1972.58,1.788
1972.67,1.916
1972.75,1.716
1972.83,1.978
1972.92,1.788
1973.00,1.578
1973.08,1.588
1973.17,1.686
1973.25,1.706
1973.33,1.755
1973.42,1.637
1973.50,1.788
1973.58,1.798
1973.67,1.817
1973.75,1.725
1973.83,1.466
1973.92,1.466
1974.00,1.535
1974.08,1.486
1974.17,1.325
1974.25,1.446
1974.33,1.578
1974.42,1.656
1974.50,1.768
1974.58,1.627
1974.67,1.745
1974.75,1.427
1974.83,1.617
1974.92,1.558
1975.00,1.368
1975.08,1.368
1975.17,1.446
1975.25,1.466
1975.33,1.607
1975.42,1.627
1975.50,1.706
1975.58,1.745
1975.67,1.637
1975.75,1.847
1975.83,1.807
1975.92,1.558
1976.00,1.407
1976.08,1.325
1976.17,1.387
1976.25,1.427
1976.33,1.477
1976.42,1.525
1976.50,1.758
1976.58,1.656
1976.67,1.716
1976.75,1.627
1976.83,1.325
1976.92,1.056
1977.00,1.076
1977.08,1.148
1977.17,1.315
1977.25,1.197
1977.33,1.476
1977.42,1.745
1977.50,1.366
1977.58,1.656
1977.67,1.906
1977.75,1.725
1977.83,1.597
1977.92,1.637
1978.00,1.407
1978.08,1.686
1978.17,1.378
1978.25,1.687
1978.33,1.656
1978.42,1.627
1978.50,1.686
1978.58,1.758
1978.67,1.857
1978.75,1.817
1978.83,1.716
1978.92,1.397
1979.00,1.686
1979.08,1.256
1979.17,1.348
1979.25,1.515
1979.33,1.515
1979.42,1.597
1979.50,1.707
1979.58,1.797
1979.67,1.686
1979.75,1.706
1979.83,1.476
1979.92,1.305
1980.00,1.317
1980.08,1.406
1980.17,1.307
1980.25,1.507
1980.33,1.667
1980.42,1.636
1980.50,1.687
1980.58,1.737
1980.67,1.636
1980.75,1.627
1980.83,1.525
1980.92,1.207
1981.00,1.056
1981.08,1.227
1981.17,1.548
1981.25,1.256
1981.33,1.597
1981.42,1.676
1981.50,1.716
1981.58,1.758
1981.67,1.857
1981.75,1.607
1981.83,1.735
1981.92,1.588
1982.00,1.276
1982.08,1.315
1982.17,1.338
1982.25,1.227
1982.33,1.515
1982.42,1.916
1982.50,1.716
1982.58,1.735
1982.67,1.745
1982.75,1.945
1982.83,1.496
1982.92,1.617
1983.00,1.535
1983.08,1.758
1983.17,1.827
1983.25,1.827
1983.33,1.686
1983.42,1.745
1983.50,1.896
1983.58,1.906
1983.67,1.857
